,Methods,Cell Type,F1
1,scDECAF,acinar,0.89720511605874
2,scDECAF,beta,0.92375366568915
3,scDECAF,delta,0.828090709583029
4,scDECAF,activated_stellate,0.971631205673759
5,scDECAF,ductal,0.838987614431879
6,scDECAF,alpha,0.946993318485523
7,scDECAF,epsilon,0.147368421052632
8,scDECAF,gamma,0.962818003913894
9,scDECAF,endothelial,0.955465587044534
10,scDECAF,macrophage,0.942307692307692
11,scDECAF,schwann,0.6875
12,scDECAF,mast,0.909090909090909
13,scmapCluster,acinar,0.865877712031558
14,scmapCluster,beta,0.892061431970582
15,scmapCluster,delta,0.692556634304207
16,scmapCluster,activated_stellate,0.917857142857143
17,scmapCluster,ductal,0.873563218390805
18,scmapCluster,alpha,0.966490299823633
19,scmapCluster,epsilon,0
20,scmapCluster,gamma,0.934393638170974
21,scmapCluster,endothelial,0.580281690140845
22,scmapCluster,macrophage,0.0701754385964912
23,scmapCluster,schwann,0
24,scmapCluster,mast,0
25,scmapCell,acinar,0.894712213383248
26,scmapCell,beta,0.964563862928349
27,scmapCell,delta,0.832402234636871
28,scmapCell,activated_stellate,0.841149773071104
29,scmapCell,ductal,0.89002557544757
30,scmapCell,alpha,0.984819328629463
31,scmapCell,epsilon,0.272727272727273
32,scmapCell,gamma,0.902877697841727
33,scmapCell,endothelial,0.839449541284404
34,scmapCell,macrophage,0.465753424657534
35,scmapCell,schwann,0
36,scmapCell,mast,0.526315789473684
37,singler,acinar,0.896097790314998
38,singler,beta,0.984536082474227
39,singler,delta,0.96843853820598
40,singler,activated_stellate,0.958904109589041
41,singler,ductal,0.895950794464377
42,singler,alpha,0.991192266380236
43,singler,epsilon,0.882352941176471
44,singler,gamma,0.976653696498054
45,singler,endothelial,0.975609756097561
46,singler,macrophage,0.990825688073395
47,singler,schwann,0
48,singler,mast,0.980392156862745
49,seurat,acinar,0.92191435768262
50,seurat,beta,0
51,seurat,delta,0
52,seurat,activated_stellate,0.855445544554455
53,seurat,ductal,0
54,seurat,alpha,0.507036107777899
55,seurat,epsilon,0
56,seurat,gamma,0.322368421052632
57,seurat,endothelial,0.825174825174825
58,seurat,macrophage,0.865979381443299
59,seurat,schwann,0
60,seurat,mast,0.87719298245614
61,cellid,acinar,0.903006789524733
62,cellid,beta,0.880778588807786
63,cellid,delta,0.929883138564274
64,cellid,activated_stellate,0.883268482490272
65,cellid,ductal,0.834763948497854
66,cellid,alpha,0.87953835056504
67,cellid,epsilon,0
68,cellid,gamma,0.932110091743119
69,cellid,endothelial,0.937853107344633
70,cellid,macrophage,0.982142857142857
71,cellid,schwann,0.962962962962963
72,cellid,mast,0.87719298245614
73,aucell,acinar,0.8584229390681
74,aucell,beta,0.85515069725596
75,aucell,delta,0.724273369992145
76,aucell,activated_stellate,0.930232558139535
77,aucell,ductal,0.876369327073552
78,aucell,alpha,0.926558321333059
79,aucell,epsilon,0.75
80,aucell,gamma,0.828947368421053
81,aucell,endothelial,0.684073107049608
82,aucell,macrophage,0.791208791208791
83,aucell,schwann,0.266666666666667
84,aucell,mast,0
85,vision,acinar,0.863841298467087
86,vision,beta,0.923951969665052
87,vision,delta,0.880573248407643
88,vision,activated_stellate,0.784916201117318
89,vision,ductal,0.881038961038961
90,vision,alpha,0.96342512908778
91,vision,epsilon,0.787878787878788
92,vision,gamma,0.91358024691358
93,vision,endothelial,0
94,vision,macrophage,0
95,vision,schwann,0.266666666666667
96,vision,mast,0
97,chetah,acinar,0.899290780141844
98,chetah,beta,0.789259170462719
99,chetah,delta,0.762575452716298
100,chetah,activated_stellate,0.809224318658281
101,chetah,ductal,0.498954703832753
102,chetah,alpha,0.571779141104295
103,chetah,epsilon,0.105263157894737
104,chetah,gamma,0.727722772277228
105,chetah,endothelial,0.25
106,chetah,macrophage,0.888888888888889
107,chetah,schwann,0
108,chetah,mast,0.0769230769230769
109,cellassign,acinar,0.874885844748858
110,cellassign,beta,0.980681139215296
111,cellassign,delta,0.957322175732218
112,cellassign,activated_stellate,0.971731448763251
113,cellassign,ductal,0.896057347670251
114,cellassign,alpha,0.978825583933639
115,cellassign,epsilon,0.842105263157895
116,cellassign,gamma,0.956190476190476
117,cellassign,endothelial,0.976744186046512
118,cellassign,macrophage,0.948275862068966
119,cellassign,schwann,0
120,cellassign,mast,0.909090909090909